,Unnamed: 0,weather,visibility,dt,timezone,rain,pressure,humidity,sea_level,grnd_level,speed,deg,gust,type,id.1,country,sunrise,sunset,lon,lat,all,temp_c,feels_like_c,temp_min_c,temp_max_c,City
79,79,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1017,71,,,11.32,270,,1,1555,Ireland,07:45:21,16:49:40,-8.4694,54.2697,75,11.939999999999998,11.04000000000002,11.170000000000016,11.960000000000036,Sligo
80,80,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1020,76,1020.0,1019.0,9.18,284,13.24,1,1569,Ireland,07:44:17,16:55:22,-9.0489,53.2719,77,12.970000000000027,12.310000000000002,12.970000000000027,12.970000000000027,Galway
81,81,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:17,0,,1015,89,,,6.71,284,13.41,2,2016139,Ireland,07:33:23,16:44:01,-6.2672,53.344,75,14.150000000000034,13.939999999999998,13.210000000000036,14.980000000000018,Dublin
82,82,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50d'}]",5000,2021-11-06 15:25:18,0,,1021,94,,,4.63,280,10.29,1,1552,Ireland,07:42:15,17:01:09,-9.5167,52.05,90,14.03000000000003,13.939999999999998,14.03000000000003,14.03000000000003,Killarney
83,83,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1021,94,,,7.2,250,,1,1563,Ireland,07:37:35,16:57:27,-8.4706,51.898,75,14.03000000000003,13.939999999999998,12.800000000000011,14.240000000000009,Cork
84,84,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1020,85,1020.0,1019.0,8.11,291,14.59,1,1569,Ireland,07:40:37,16:55:39,-8.6231,52.6647,100,12.970000000000027,12.54000000000002,12.82000000000005,12.970000000000027,Limerick
85,85,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:25:18,0,,1017,88,1017.0,1017.0,9.29,249,17.11,2,2003195,Ireland,07:31:05,16:45:19,-6.1414,52.7931,100,14.960000000000036,14.810000000000002,13.270000000000039,15.04000000000002,Arklow
86,86,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",5000,2021-11-06 15:25:44,3600,{'1h': 0.49},1018,87,,,3.58,5,,2,2003237,Italy,05:39:25,15:53:51,14.25,40.8333,90,15.910000000000025,15.830000000000041,13.900000000000034,18.49000000000001,Napels
87,87,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:18,3600,,1022,88,,,1.34,90,3.58,2,2004823,Italy,05:29:34,15:42:53,16.8512,41.1177,0,15.390000000000043,15.28000000000003,13.260000000000048,18.150000000000034,Bari
88,88,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:27:19,3600,,1025,69,,,0.89,281,1.79,2,2004497,Italy,05:58:23,15:57:25,11.4333,44.4667,20,12.090000000000032,11.160000000000025,8.080000000000041,15.620000000000005,Bologna
89,89,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",9000,2021-11-06 15:25:59,3600,,1016,75,,,3.6,90,,2,2037790,Italy,05:48:38,15:58:45,12.4839,41.8947,75,17.32000000000005,17.07000000000005,15.450000000000045,18.879999999999995,Rome
90,90,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:03,3600,,1024,46,,,0.89,285,3.13,2,2020320,Italy,06:09:39,16:04:06,9.1895,45.4643,0,13.610000000000014,12.230000000000018,11.060000000000002,15.170000000000016,Milaan
91,91,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,2021-11-06 15:25:38,3600,,1021,54,,,2.68,351,5.36,2,2010208,Italy,06:07:56,16:06:48,9.0667,44.5,31,9.760000000000048,8.420000000000016,5.740000000000009,11.760000000000048,Genua
92,92,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,2021-11-06 15:27:19,3600,,1024,57,,,3.6,70,,1,6779,Italy,05:57:02,15:51:37,12.3267,45.4386,0,14.180000000000007,13.140000000000043,13.330000000000041,15.04000000000002,Venetië
93,93,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",10000,2021-11-06 15:29:19,7200,,1020,60,,,0.0,0,,1,6638,Greece,05:09:43,15:31:56,20.7019,38.8275,20,22.950000000000045,22.870000000000005,22.950000000000045,22.950000000000045,Lefkada
94,94,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",10000,2021-11-06 15:29:19,7200,,1021,58,1021.0,989.0,1.05,322,1.21,2,2005099,Greece,05:05:13,15:19:04,22.8708,40.9919,76,18.27000000000004,17.670000000000016,17.110000000000014,19.52000000000004,Kilkis
95,95,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",6000,2021-11-06 15:25:21,7200,,1022,88,,,0.0,0,,1,6629,Greece,05:04:22,15:23:31,22.4203,39.6372,20,16.939999999999998,16.99000000000001,16.52000000000004,16.939999999999998,Larisa
96,96,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,2021-11-06 15:29:20,7200,,1021,72,,,1.54,300,,2,2035774,Greece,05:04:14,15:19:29,22.9439,40.6403,0,19.980000000000018,19.910000000000025,18.54000000000002,22.400000000000034,Thessaloniki
97,97,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,2021-11-06 15:27:53,7200,,1019,55,1019.0,1018.0,2.04,51,2.22,1,6641,Greece,05:04:30,15:28:53,21.7344,38.2444,99,22.02000000000004,21.710000000000036,20.99000000000001,23.150000000000034,Patras
98,98,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,2021-11-06 15:29:20,7200,,1019,87,,,2.57,320,,1,6616,Greece,04:45:42,15:20:25,25.1434,35.3279,20,19.730000000000018,20.03000000000003,18.82000000000005,22.090000000000032,Iraklion
99,99,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",10000,2021-11-06 15:29:20,7200,,1016,73,,,0.89,234,0.89,2,2018805,Greece,04:56:05,15:21:27,23.7162,37.9795,20,21.78000000000003,21.920000000000016,19.860000000000014,23.54000000000002,Athene
